zip codes within 20.0 miles:
     22230 Arlington, VA 6.62 
     22234 Arlington, VA 6.71 
     22240 Arlington, VA 4.52 
     22241 Arlington, VA 6.71 
     22242 Arlington, VA 4.82 
     22243 Arlington, VA 4.33 
     22244 Arlington, VA 4.63 
     22245 Arlington, VA 4.78 
     22246 Arlington, VA 6.71 
     22301 Alexandria, VA 6.72 
     22302 Alexandria, VA 6.99 
     22303 Alexandria, VA 8.91 
     22304 Alexandria, VA 9.13 
     22305 Alexandria, VA 5.97 
     22306 Alexandria, VA 11.23 
     22307 Alexandria, VA 9.51 
     22308 Alexandria, VA 12.49 
     22309 Alexandria, VA 13.71 
     22310 Alexandria, VA 10.84 
     22311 Alexandria, VA 8.27 
     22312 Alexandria, VA 10.52 
     22313 Alexandria, VA 7.98 
     22314 Alexandria, VA 7.36 
     22315 Alexandria, VA 13.21 
     22320 Alexandria, VA 7.36 
     22321 Alexandria, VA 16.72 
     22331 Alexandria, VA 8.16 
     22332 Alexandria, VA 8.11 
     22333 Alexandria, VA 7.98 
     22334 Alexandria, VA 7.98 
     22336 Alexandria, VA 7.98 

The farthest locaiton is: 20878, Gaithersburg, MD, 19.85
